Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1953,165,125,37,3,0,,,,,,137,100,330
1954,235,55,20,7,,,,,,,30,122,554
1955,254,133,67,2,,,,,,0,41,53,608
1956,95,53,122,6,,,,,,0,41,214,370
1957,137,100,51,42,,,,,,,7,103,585
1958,169,175,78,4,,,,,,,20,64,536
1959,134,71,32,5,,,,,,,46,142,326
1960,167,80,40,29,,,,,,0,16,74,504
1961,138,97,64,2,,,,,,0,25,50,391
1962,200,70,95,0,,,,,,,63,57,440
1963,108,95,52,18,0,,,,,,29,76,393
1964,165,184,24,7,,,,,,15,46,145,485
1965,117,179,99,12,,,,,,,35,73,613
1966,235,98,89,2,0,,,,,0,35,235,532
1967,153,40,40,8,,,,,,0,33,100,511
1968,134,134,15,0,0,,,,,0,12,75,416
1969,105,128,46,14,,,,,0,0,48,94,380
1970,137,83,153,6,,,,,,0,33,66,521
1971,169,61,50,1,0,,,,,0,17,111,380
1972,195,173,27,19,,,,,,0,24,52,542
1973,130,96,90,0,,,,,,,32,82,392
1974,113,106,44,20,,,,,,,35,133,397
1975,140,80,44,0,,,,,,1,26,111,432
1976,147,75,76,1,,,,,,0,23,122,437
1977,173,102,52,11,0,,,,,,5,89,483
1978,231,153,108,9,,,,,,5,3,82,595
1979,143,127,67,40,,,,,,0,27,50,467
1980,143,244,109,11,0,,,,,0,10,134,584
1981,273,62,136,2,,,,,,0,47,111,617
1982,193,167,73,22,,,,,,0,24,82,613
1983,88,194,92,0,,,,,,3,3,41,480
1984,117,239,121,31,,,,,,1,12,40,555
1985,265,124,43,3,,,,,,0,30,183,488
1986,158,100,55,0,,,,,,14,38,99,526
1987,173,130,56,14,0,,,,,0,6,135,524
1988,108,185,41,1,0,,,,,,14,179,476
1989,54,44,20,0,,,,,,0,4,123,311
1990,196,74,14,2,,,,,,,15,146,413
1991,250,152,74,0,0,,,,,,4,135,637
1992,109,74,60,0,0,,,,,0,43,90,382
1993,117,174,41,5,0,,,,,,9,62,470
1994,128,226,146,0,,,,,,0,38,107,571
1995,154,66,29,0,,,,,,0,30,256,394
1996,183,138,61,12,,,,,,3,35,96,680
1997,35,146,60,3,,,,,,0,1,69,378
1998,156,117,63,2,,,,,,,64,159,408
1999,194,112,90,13,,,,,,0,29,101,632
2000,202,226,67,5,,,,,,0,113,95,630
2001,128,92,64,2,,,,,,,34,200,494
2002,71,73,37,,,,,,,0,25,112,415
2003,144,120,64,0,,,,,,,2,67,465
2004,156,131,30,11,,,,,,8,18,110,397
2005,237,139,95,10,,,,,,,4,147,617
2006,189,104,104,26,,,,,,,25,136,574
2007,134,153,91,4,,,,,,,10,63,543
2008,184,145,21,,,,,,,,32,116,423
2009,99,174,69,2,,,,,,,8,98,492
2010,154,99,123,3,,,,,,9,25,58,485
2011,172,111,101,14,,,,,,,32,106,490
2012,99,81,62,19,,,,,,,13,212,399
2013,125,168,105,5,,,,,,,20,101,628
2014,148,118,84,7,,,,,,,32,130,478
2015,127,39,39,,,,,,,,49,101,367
2016,98,113,67,,,,,,,4,39,198,428
2017,106,88,73,4,,,,,,,62,102,512
2018,147,78,74,2,,,,,,,18,106,465
2019,125,52,33,1,,,,,,,44,54,335
2020,85,195,49,,,,,,,,19,50,427
2021,137,75,50,,,,,,,,4,114,331
2022,182,141,34,1,,,,,,,4,103,476
2023,117,151,14,,,,,,,,,,389
